"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","review_count.1","hours.time"
"919",3,133,TRUE,"YES",TRUE,"loud",133,78.5
"920",3.5,42,TRUE,"YES",TRUE,"average",42,68
"921",4,54,TRUE,"YES",TRUE,"very_loud",54,68.5
"923",4,53,FALSE,"YES",TRUE,"quiet",53,32
"924",3.5,116,FALSE,"YES",TRUE,"loud",116,54
"928",3,62,FALSE,"YES",TRUE,"average",62,79
"929",4,12,TRUE,"YES",TRUE,"average",12,77
"930",4,41,TRUE,"YES",TRUE,"average",41,85
"931",3,39,FALSE,"YES",FALSE,"quiet",39,91
"934",4,88,TRUE,"YES",FALSE,"average",88,65
"935",2.5,10,TRUE,"YES",TRUE,"average",10,38.5
"937",3,18,TRUE,"YES",TRUE,"average",18,106
"939",4.5,37,TRUE,"YES",TRUE,"average",37,104
"941",3.5,98,TRUE,"YES",TRUE,"average",98,106.5
"945",4,18,TRUE,"NO",TRUE,"quiet",18,40
"949",4,247,TRUE,"YES",FALSE,"average",247,44
"950",3.5,24,TRUE,"NO",FALSE,"average",24,64
"952",3,153,TRUE,"YES",TRUE,"average",153,74
"953",3.5,303,TRUE,"YES",TRUE,"average",303,86.5
"955",4,163,TRUE,"YES",TRUE,"average",163,56
"958",3.5,29,TRUE,"YES",TRUE,"very_loud",29,43
"959",3,13,TRUE,"NO",TRUE,"very_loud",13,94.5
"960",4,470,TRUE,"YES",TRUE,"loud",470,59
"962",3,22,TRUE,"NO",TRUE,"average",22,100
"963",3.5,39,TRUE,"YES",TRUE,"quiet",39,75.5
"964",3.5,288,FALSE,"YES",TRUE,"average",288,89
"967",4,82,TRUE,"YES",TRUE,"average",82,85.5
"968",3.5,19,TRUE,"NO",TRUE,"average",19,100
"970",4.5,26,TRUE,"YES",TRUE,"average",26,22
"977",4.5,153,TRUE,"YES",FALSE,"average",153,54
"978",4,91,TRUE,"YES",TRUE,"average",91,69
"981",3.5,250,TRUE,"YES",TRUE,"loud",250,93
"982",3,30,TRUE,"NO",TRUE,"average",30,101
"989",3,116,TRUE,"YES",TRUE,"quiet",116,31.5
"990",4.5,84,FALSE,"YES",TRUE,"average",84,61
"992",2,30,TRUE,"NO",TRUE,"average",30,75.5
"997",4.5,116,TRUE,"YES",TRUE,"average",116,98
"1000",3,10,TRUE,"YES",TRUE,"very_loud",10,97
"1002",4.5,130,TRUE,"YES",FALSE,"quiet",130,74.5
"1003",3.5,167,FALSE,"YES",TRUE,"average",167,41
"1004",2.5,30,TRUE,"YES",TRUE,"average",30,22
"1009",3.5,255,TRUE,"YES",TRUE,"average",255,103
"1010",1.5,19,FALSE,"NO",TRUE,"average",19,70
"1011",3,34,TRUE,"YES",TRUE,"average",34,94
"1012",3.5,26,TRUE,"YES",TRUE,"average",26,96
"1013",3,20,TRUE,"YES",TRUE,"average",20,84
"1017",4,115,TRUE,"YES",TRUE,"loud",115,100
"1019",4.5,88,TRUE,"YES",TRUE,"average",88,63
"1020",4,229,TRUE,"YES",TRUE,"average",229,82.5
"1021",2,23,FALSE,"YES",TRUE,"loud",23,71
"1023",3.5,3,TRUE,"NO",TRUE,"average",3,101
"1024",4,156,TRUE,"YES",FALSE,"average",156,39
"1025",3,111,TRUE,"YES",TRUE,"average",111,38
"1029",3.5,28,FALSE,"YES",TRUE,"average",28,92
"1030",4,85,FALSE,"YES",TRUE,"average",85,105
"1031",4,56,FALSE,"NO",TRUE,"average",56,83
"1034",4,184,TRUE,"YES",TRUE,"quiet",184,46.5
"1035",3,160,TRUE,"YES",TRUE,"average",160,102
"1036",3.5,286,TRUE,"YES",TRUE,"average",286,78
"1037",3,83,TRUE,"YES",TRUE,"average",83,92
"1038",3.5,55,FALSE,"YES",TRUE,"average",55,92
"1040",3,26,TRUE,"YES",TRUE,"very_loud",26,56.5
"1041",3.5,138,TRUE,"YES",TRUE,"average",138,82
"1043",4,220,TRUE,"YES",TRUE,"loud",220,105.5
"1048",2,7,TRUE,"YES",TRUE,"quiet",7,66.5
"1052",3,127,FALSE,"YES",TRUE,"average",127,81
"1056",4.5,3,FALSE,"NO",TRUE,"average",3,68
"1060",4,154,TRUE,"YES",TRUE,"average",154,75.5
"1063",3.5,38,TRUE,"YES",TRUE,"average",38,91
"1064",3.5,9,TRUE,"NO",FALSE,"average",9,84
"1065",3.5,38,TRUE,"YES",FALSE,"average",38,37.5
"1066",4,834,TRUE,"YES",TRUE,"average",834,98
"1070",3.5,24,FALSE,"NO",TRUE,"average",24,92
"1073",4,146,TRUE,"NO",TRUE,"loud",146,65.5
"1078",4,13,FALSE,"YES",TRUE,"average",13,86.5
"1083",4.5,30,TRUE,"YES",TRUE,"average",30,13
"1084",2,67,TRUE,"YES",TRUE,"average",67,91
"1086",3.5,35,TRUE,"YES",TRUE,"loud",35,102
